a bit,,,"một chút, một tí"
a couple,,,"một cặp, một đôi"
a few,,,"một ít, một vài"
a little,,,"nhỏ, một ít"
all right ,,,"tốt, ổn, khỏe mạnh; được"
apart from ,,,ngoài… ra
as soon as,,,ngay khi
as well (as),,,"cũng, cũng như"
aside from,,,"ngoài ra, trừ ra"
associated with,,,liên kết với
at first,,,trực tiếp
at least,,,"ít ra, ít nhất, chí ít"
based on,,,dựa trên
be called,,,"được gọi, bị gọi"
be going to,,,"sắp sửa, có ý định"
be sick ,,,bị ốm
because of,,,"vì, do bởi"
by means of,,,bằng phương tiện
care for,,,"trông nom, chăm sóc"
deal with,,, giải quyết
due to,,,"vì, do, tại, nhờ có"
each other ,,,"nhau, lẫn nhau"
fall asleep,,,ngủ thiếp đi
fall over,,,"ngã lộn nhào, bị đổ"
feel sick ,,,buồn nôn
find out sth,,,"khám phá, tìm ra"
for instance,,,ví dụ chẳng hạn
get off,,,"ra khỏi, thoát khỏi"
get on,,,"leo, trèo lên"
give birth (to),,,sinh ra
give sth away,,,"cho, phát"
give sth out,,,"chia, phân phối"
give sth up,,,"bỏ, từ bỏ"
go bad,,,"bẩn thỉu, thối, hỏng"
go down,,,đi xuống
go up,,,đi lên
go wrong,,,"mắc lỗi, sai lầm"
good at,,,tiến bộ ở
good for,,,có lợi cho
grow up,,,"lớn lên, trưởng thành"
in a hurry,,,"vội vàng, hối hả, gấp rút"
in addition ,,,thêm vào
in advance,,,"trước, sớm"
in case (of),,,nếu......
in charge,,,of phụ trách
in common,,,"sự chung, của chung"
in control ,,,trong sự điều khiển của
in detail,,,"tường tận, tỉ mỉ"
in exchange ,,,trong việc trao đổi về
in favour/favor ,,,ủng hộ cái gì
in front ,,,ở phía trước
in general,,,"nói chung, đại khái"
in honour,,,"để tỏ lòng tôn kính, trân trọng đối với"
in memory of,,,sự tưởng nhớ
in order to,,,hợp lệ
in public,,,"giữa công chúng, công khai"
in the end,,,"cuối cùng, về sau"
instead of,,,thay cho
involved in,,,để hết tâm trí vào
keen on,,,"say mê, ưa thích"
leave out,,,"bỏ quên, bỏ sót"
look after ,,,"trông nom, chăm sóc"
look at,,,"nhìn, ngắm, xem"
look for,,,tìm kiếm
look forward,,,mong đợi cách hân hoan
make friends ,,,kết bạn với
make fun of,,,"đùa cợt, chế giễu, chế nhạo"
make sth up,,,"làm thành, cấu thành, gộp thành"
make sure,,,"chắc chắn, làm cho chắc chắn"
next to,,,prep.
of course,,,dĩ nhiên
on behalf of sb,,,"thay mặt cho ai, nhân danh ai"
on board,,,trên tàu thủy
on purpose,,,"cố tình, cố ý, có chủ tâm"
on sb’s behalf ,,,nhân danh cá nhân ai
pay attention (to),,,chú ý tới
pick sth up,,,"cuốc, vỡ, xé"
put sth on ,,,"mặc (áo), đội (mũ), đi (giày)"
put sth out,,,"tắt, dập tắt"
rather than,,,hơn là
refer to  ,,,"xem, tham khảo; ám chỉ, nhắc đến"
set fire to,,,đốt cháy cái gì
sit down,,,ngồi xuống
so that,,,"để, để cho, để mà"
stand up,,,đứng đậy
stick out (for),,,"đòi, đạt được cái gì"
such as,,,"đến nỗi, đến mức"
switch sth off,,,ngắt điện
switch sth on,,,bật điện
take (sth) over,,,"chở, chuyển cái gì; tiếp quản, kế tục cái gì"
take action ,,,hành động
take advantage of,,, lợi dụng
take care (of),,,sự giữ gìn
take notice of,,,chú ý
take part (in),,,Tham gia (vào)
take place,,,"xảy ra, được cử hành, được tổ chức"
take sth off,,,"cởi, bỏ cái gì, lấy đi cái gì"
throw sth away,,,"ném đi, vứt đi, liệng đi"
tie sth up,,,"có quan hệ mật thiết, gắn chặt"
under control,,,dưới sự điều khiển của
used to sth,,,"sử dụng cái gì, sử dụng để làm cái gì"
wind sth up,,,"lên dây, quấn, giải quyết"
yours faithfully ,,,bạn chân thành
yours sincerely ,,,"bạn chân thành của anh, chị.. (viết ở cuối thư)"
yours truly ,,,lời kết thúc thư (bạn chân thành của...)
abandon ,(v),/ə'bændən/,"bỏ, từ bỏ"
abandoned ,(adj) ,/ə'bændənd/,"bị bỏ rơi, bị ruồng bỏ"
ability ,(n),/ə'biliti/,"khả năng, năng lực"
able ,(adj) ,/'eibl/,"có năng lực, có tài"
about  ,(adv) prep.,/ə'baut/,"khoảng, về"
above,(adv),/ə'bʌv/,"ở trên, lên trên"
abroad  ,(adv),/ə'brɔ:d/,"ở, ra nước ngoài, ngoài trời"
absence ,(n),/'æbsəns/,sự vắng mặt
absent ,(adj) ,/'æbsənt/,"vắng mặt, nghỉ"
absolute ,(adj) ,/'æbsəlu:t/,"tuyệt đối, hoàn toàn"
absolutely  ,(adv),/'æbsəlu:tli/,"tuyệt đối, hoàn toàn"
absorb ,(v),/əb'sɔ:b/,"thu hút, hấp thu, lôi cuốn"
abuse  ,(n) (v) ,/ə'bju:s/,"lộng hành, lạm dụng"
academic ,(adj) ,"/,ækə'demik/","thuộc học viện, viện hàn lâm"
accent ,(n),/'æksənt/,"trọng âm, dấu trọng âm"
accept ,(v),/ək'sept/,"chấp nhận, chấp thuận"
acceptable ,(adj) ,/ək'septəbl/,"có thể chấp nhận, chấp thuận"
access ,(n),/'ækses/,"lối, cửa, đường vào"
accident ,(n),/'æksidənt/,"tai nạn, rủi ro"
accidental ,(adj) ,"/,æksi'dentl/","tình cờ, bất ngờ"
accidentally  ,(adv),"/,æksi'dentəli/","tình cờ, ngẫu nhiên"
accommodation ,(n),"/ə,kɔmə'deiʃn/","sự thích nghi, điều tiết"
accompany ,(v),/ə'kʌmpəni/,"đi theo, đi cùng, kèm theo"
according to ,(prep.),/ə'kɔ:diɳ/,"theo, y theo"
account  ,(n) (v) ,/ə'kaunt/,"tài khoản, kế toán; tính toán, "
accurate ,(adj) ,/'ækjurit/,"đúng đắn, chính xác, xác đáng"
accurately  ,(adv),/'ækjuritli/,"đúng đắn, chính xác"
